Equipo,Elo base,Ajuste,Elo final,P(camp) base %,P(camp) ajust %,Cambio,P(final) ajust %,P(semi) ajust %
Espana,2028.0,50.0,2078.0,15.19,18.64,3.45,27.37,39.68
Francia,1950.0,40.0,1990.0,8.15,9.51,1.36,15.75,26.39
Argentina,1965.0,0.0,1965.0,9.43,7.4,-2.03,13.09,22.39
Portugal,1868.0,80.0,1948.0,3.39,6.08,2.69,11.2,19.73
Paises Bajos,1851.0,80.0,1931.0,2.98,6.0,3.02,11.27,20.02
Marruecos,1919.0,0.0,1919.0,5.8,5.11,-0.69,9.89,18.09
Inglaterra,1904.0,0.0,1904.0,5.24,4.39,-0.85,8.4,15.24
Ecuador,1818.0,60.0,1878.0,2.21,3.29,1.08,7.14,13.86
Alemania,1830.0,30.0,1860.0,2.35,3.05,0.7,6.37,12.32
Colombia,1852.0,30.0,1882.0,3.02,3.05,0.03,6.68,12.93
Japon,1893.0,-40.0,1853.0,4.75,2.71,-2.04,5.59,11.87
Mexico,1826.0,30.0,1856.0,2.71,2.68,-0.03,5.76,12.03
Brasil,1874.0,-20.0,1854.0,3.77,2.64,-1.13,5.71,11.74
Suiza,1783.0,50.0,1833.0,1.81,2.59,0.78,5.38,11.45
Senegal,1856.0,0.0,1856.0,2.78,2.52,-0.26,5.38,11.11
Iran,1824.0,0.0,1824.0,2.52,1.82,-0.7,4.39,10.04
Croacia,1810.0,0.0,1810.0,1.92,1.6,-0.32,3.76,8.12
Australia,1825.0,0.0,1825.0,2.42,1.59,-0.83,4.26,10.03
Corea del Sur,1792.0,0.0,1792.0,1.72,1.48,-0.24,3.25,7.89
Uruguay,1792.0,0.0,1792.0,1.49,1.28,-0.21,3.25,7.39
Noruega,1792.0,0.0,1792.0,1.37,1.2,-0.17,2.77,6.46
Argelia,1810.0,0.0,1810.0,1.55,1.12,-0.43,3.1,7.21
Costa Marfil,1766.0,0.0,1766.0,1.04,1.01,-0.03,2.53,5.96
Canada,1777.0,-10.0,1767.0,1.53,1.01,-0.52,2.83,7.39
Turquia,1786.0,0.0,1786.0,1.53,0.99,-0.54,2.76,6.96
Estados Unidos,1737.0,30.0,1767.0,0.86,0.91,0.05,2.58,5.97
Belgica,1767.0,0.0,1767.0,1.07,0.84,-0.23,2.22,5.95
Egipto,1765.0,0.0,1765.0,1.08,0.8,-0.28,2.23,5.79
Panama,1764.0,0.0,1764.0,0.84,0.69,-0.15,1.99,5.3
Jordania,1741.0,0.0,1741.0,0.58,0.55,-0.03,1.39,3.69
Uzbekistan,1786.0,-40.0,1746.0,1.08,0.46,-0.62,1.27,3.83
Austria,1730.0,0.0,1730.0,0.45,0.45,0.0,1.25,3.31
R.D. Congo,1725.0,0.0,1725.0,0.4,0.44,0.04,1.3,3.34
Tunez,1708.0,0.0,1708.0,0.5,0.44,-0.06,1.18,3.01
Paraguay,1709.0,0.0,1709.0,0.44,0.39,-0.05,0.99,3.41
Irak,1703.0,0.0,1703.0,0.31,0.24,-0.07,0.81,2.86
Haiti,1667.0,0.0,1667.0,0.18,0.17,-0.01,0.58,2.08
Nueva Zelanda,1668.0,0.0,1668.0,0.32,0.17,-0.15,0.67,1.96
Escocia,1660.0,0.0,1660.0,0.17,0.17,0.0,0.62,2.2
Sudafrica,1637.0,0.0,1637.0,0.16,0.12,-0.04,0.63,1.83
Rep. Checa,1634.0,0.0,1634.0,0.2,0.11,-0.09,0.44,1.73
Suecia,1641.0,30.0,1671.0,0.16,0.1,-0.06,0.56,1.82
Arabia Saudi,1646.0,0.0,1646.0,0.16,0.07,-0.09,0.39,1.42
Cabo Verde,1627.0,0.0,1627.0,0.15,0.05,-0.1,0.32,1.25
Catar,1565.0,0.0,1565.0,0.03,0.04,0.01,0.2,1.04
Curazao,1604.0,0.0,1604.0,0.14,0.02,-0.12,0.28,0.88
Bosnia Herz.,1522.0,0.0,1522.0,0.03,0.01,-0.02,0.08,0.44
Ghana,1594.0,0.0,1594.0,0.02,0.0,-0.02,0.14,0.59
