Equipo,P(campeon),P(final),P(semi),P(cuartos),P(octavos),Goles esperados
Mexico,0.0271,0.0582,0.1205,0.2539,0.4942,7.2111
Sudafrica,0.0016,0.0055,0.0207,0.0703,0.211,4.2441
Corea del Sur,0.0172,0.0403,0.0922,0.2144,0.4443,6.6245
Rep. Checa,0.002,0.0063,0.0191,0.0648,0.2087,4.224
Canada,0.0153,0.0369,0.0899,0.2151,0.4479,6.9467
Bosnia Herz.,0.0003,0.0014,0.0063,0.0282,0.1228,3.4463
Catar,0.0003,0.0011,0.0095,0.0399,0.1571,3.897
Suiza,0.0181,0.0408,0.0918,0.2122,0.4418,6.9894
Brasil,0.0377,0.0796,0.1489,0.2713,0.4615,7.2381
Marruecos,0.058,0.1074,0.19,0.3206,0.5289,8.0945
Haiti,0.0018,0.0082,0.0232,0.0702,0.1854,4.0184
Escocia,0.0017,0.0062,0.019,0.0578,0.1643,3.8365
Estados Unidos,0.0086,0.0194,0.0513,0.122,0.3011,5.1761
Paraguay,0.0044,0.0139,0.037,0.0965,0.2598,4.7115
Australia,0.0242,0.0529,0.1124,0.221,0.4529,6.671
Turquia,0.0153,0.0357,0.0825,0.1717,0.3843,5.9749
Alemania,0.0235,0.0547,0.1128,0.2204,0.4291,6.7547
Curazao,0.0014,0.0033,0.0097,0.0388,0.1254,3.4476
Costa Marfil,0.0104,0.028,0.0658,0.1516,0.3347,5.6676
Ecuador,0.0221,0.0493,0.1002,0.2061,0.4078,6.5756
Paises Bajos,0.0298,0.0636,0.1284,0.242,0.426,6.9047
Japon,0.0475,0.0896,0.1709,0.2894,0.4774,7.6186
Suecia,0.0016,0.006,0.0163,0.0489,0.1357,3.628
Tunez,0.005,0.0128,0.0347,0.0861,0.2088,4.4975
Belgica,0.0107,0.0274,0.067,0.1753,0.3636,5.7828
Egipto,0.0108,0.0264,0.0663,0.1688,0.3512,5.7105
Iran,0.0252,0.0521,0.109,0.2397,0.4417,6.7715
Nueva Zelanda,0.0032,0.0088,0.0241,0.0816,0.2125,4.296
Espana,0.1519,0.2308,0.3375,0.4641,0.6501,10.38
Cabo Verde,0.0015,0.0046,0.0136,0.0445,0.1383,3.5216
Arabia Saudi,0.0016,0.0065,0.0189,0.0543,0.1526,3.7149
Uruguay,0.0149,0.0343,0.0825,0.1766,0.3463,5.9105
Francia,0.0815,0.1381,0.2281,0.3728,0.5674,8.4156
Senegal,0.0278,0.0605,0.1225,0.239,0.424,6.4914
Irak,0.0031,0.0097,0.0295,0.0803,0.1881,3.9581
Noruega,0.0137,0.0319,0.0738,0.1637,0.3177,5.3742
Argentina,0.0943,0.1527,0.2452,0.3689,0.5542,8.6883
Argelia,0.0155,0.0371,0.08,0.1697,0.3309,5.6892
Austria,0.0045,0.0135,0.0376,0.0996,0.2191,4.4459
Jordania,0.0058,0.015,0.0406,0.1031,0.2278,4.5974
Portugal,0.0339,0.068,0.1327,0.2355,0.4386,6.7908
R.D. Congo,0.004,0.0116,0.033,0.0862,0.2244,4.4267
Uzbekistan,0.0108,0.029,0.0676,0.1387,0.3062,5.2848
Colombia,0.0302,0.0587,0.1169,0.215,0.4213,6.5277
Inglaterra,0.0524,0.0959,0.1685,0.2791,0.5139,7.841
Croacia,0.0192,0.0421,0.0866,0.1723,0.3836,6.2077
Ghana,0.0002,0.0025,0.0074,0.0281,0.1036,3.1657
Panama,0.0084,0.0217,0.058,0.1299,0.312,5.4442
